"Country.Name","Country.Code","X2016"
"Turkey","TUR",8.58e+11
"Tuvalu","TUV",34218878.44
"Tanzania","TZA",47431038892
"Uganda","UGA",25527910091
"Ukraine","UKR",93270479389
"Upper middle income","UMC",2.05e+13
"Uruguay","URY",52419720714
"United States","USA",1.86e+13
"Uzbekistan","UZB",67220335570
"St. Vincent and the Grenadines","VCT",770796555.6
"Venezuela, RB","VEN",4179567595940.16
"Virgin Islands (U.S.)","VIR",1362142822966.5
"Vietnam","VNM",2.03e+11
"Vanuatu","VUT",773502895.9
"World","WLD",7.55e+13
"Samoa","WSM",785916937.4
"Kosovo","XKX",6649888889
"Yemen, Rep.","YEM",27317605346
"South Africa","ZAF",2.95e+11
"Zambia","ZMB",19551093303
"Zimbabwe","ZWE",16289212000
