Country.Name,Country.Code,X2015,gdp,sani,pre,pri,sec,ter,smo.Daily.tobacco,smo.Daily.cigarettes,ob,al,co2,hiv
Togo,TGO,59.92370732,4399995987,11.6,17.53702927,121.7996521,96.64274877,10.62596035,18.4,15.264,78.5,1.9,0.362696892,2.1
Thailand,THA,75.068,4.07E+11,93,69.1118927,102.7294617,129.001709,48.85744095,18.2,17.4,21.6,8.3,4.621860032,1.1
Tajikistan,TJK,71.00712195,6951657159,95,10.64758968,98.18959808,96.49511777,26.37450027,18.4,15.264,32.6,2.4,0.620466725,0.3
Trinidad and Tobago,TTO,70.58885366,20989155540,91.5,73.69131128,108.9620999,95.81689519,61.89065002,18.4,15.264,61.6,6.6,34.16324263,1.2
Tunisia,TUN,75.49704878,42062549395,91.6,43.94681931,114.1744766,88.20406342,34.60657883,18.4,15.264,66.8,1.2,2.587059584,0.1
Tanzania,TZA,64.90331707,47431038892,15.6,31.78346062,81.70601654,76.98253545,49.98503618,11.9,10,58.1,8.1,0.221347372,4.7
Uganda,UGA,59.5087561,25527910091,19.1,11.62561989,109.1502053,23.23653984,62.0256691,6.6,5.3,58.4,10.5,0.134656001,6.5
Ukraine,UKR,71.1895122,93270479389,95.9,70.01639122,102.371164,89.26964454,41.28888874,25.4,24.1,67.8,11.8,5.020747064,0.9
Uruguay,URY,77.13163415,52419720714,96.4,64.48332318,97.3664795,86.28860149,55.56626892,18.9,17.6,62.9,7,1.973150822,0.6
South Africa,ZAF,61.93409756,2.95E+11,66.4,71.21818444,97.13038424,87.44413649,33.94368954,16.1,11.7,61.6,11.5,9.045270345,18.9
