Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Belize,BLZ,,,,,,,,,,,54.22177124,53.02394104,52.45795822,,,,57.82471085,60.57823944,,,,60.75400925,,,68.38514709,67.20941162,,,,64.12162018,67.97437286,70.59146881,,76.95279694,78.28896332,76.51870728,76.72532654,75.36786652,74.84187317,74.43972015,75.35978699,76.0342865,78.38365173,80.16304016,79.8772583,80.79221344,
Bermuda,BMU,,82.15592194,80.86212921,85.69358826,80.69332886,82.41277313,83.80819702,94.1186676,93.30618286,95.5850296,100.7760696,,,,,,,,,,,,,,,,,,,,,79.17460632,78.07422638,79.03663635,81.29654694,80.88435364,77.64221191,,,,78.72415924,77.14286041,75.28070068,74.24861908,72.62242889,71.5424118,
Bolivia,BOL,25.47056961,27.39163971,30.43335915,31.41819,,36.84127045,,,,,,,,,,,,,,,,,,,,,,,69.06085968,74.71463013,71.07254791,74.49369049,79.62873077,82.71611786,85.81304932,86.99143982,86.39241028,86.06282806,85.57865906,84.04277039,83.13421631,82.31812286,82.88289642,84.67449951,85.37963104,86.40506744,
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.9942169,101.8686676,102.3710327,101.2919922,,95.16999817,96.72012329,96.66548157,,95.26338196,95.5837326,101.8680725,101.9508972,99.65097046,
Barbados,BRB,,77.87153625,79.38459015,79.99665833,76.224823,81.31754303,78.85942841,79.15918732,84.79789734,85.52922058,89.2454071,88.19316864,86.35671234,87.10999298,88.18849945,91.58953094,,,,86.88609314,85.42957306,,,,,,,,,107.0007782,103.6189728,103.5122528,104.3391266,105.4573822,107.7444534,108.5500031,105.8844376,105.4160309,104.4959412,103.2271423,101.9024734,103.6086273,,,109.2475662,,
Brunei Darussalam,BRN,53.82841873,54.92924881,57.05028152,56.77695084,57.33171844,59.35100937,60.86724091,58.63925934,58.64484024,59.47116089,60.76792145,61.54508972,63.39978027,66.11405945,64.58773041,64.849617,62.39048004,,,,,74.57848358,74.74584198,76.28447723,76.6620636,,,,82.38038635,85.76909637,86.22260284,86.54530334,87.94835663,89.71530914,94.05977631,97.63583374,98.53338623,96.69738007,96.6082077,98.49552155,99.24432373,101.0813675,105.7116928,104.3462524,99.11621094,96.07946777,
Bhutan,BTN,2.395009995,2.722739935,3.245879889,,5.103610039,,,3.976289988,,,,,9.702630043,11.25319004,11.99860954,11.94480038,,,,,,,,,,,,,24.10687065,27.12858963,30.45229912,33.55886078,,,,45.72122955,48.66495132,52.87797165,56.47541046,61.75310898,66.11238861,69.51437378,73.63176727,77.23709869,84.19769287,,
Botswana,BWA,6.270890236,7.250780106,8.183199883,11.46453953,12.85416031,14.57724953,16.14374924,17.24916077,17.76639938,17.75890923,18.49167061,20.28767967,,20.7660408,24.83205032,28.0736599,29.81188011,31.11832047,30.83889961,36.11796951,39.76681137,48.06531906,47.44580078,51.41527939,50.21784973,56.89171982,,,72.56072998,73.51928711,75.21376038,74.75813293,75.65077209,76.29318237,77.8344574,78.52548981,80.53336334,81.37175751,76.86157227,,,,,,,,
Central African Republic,CAF,,4.412930012,5.387899876,6.084849834,6.62594986,7.044429779,7.855999947,8.270990372,9.907810211,10.25158024,11.77910042,13.40363979,15.65503979,15.46082973,,15.30624008,15.20788002,12.7095499,11.32855034,10.82921982,11.4198103,11.48143005,9.577890396,,,,,,,,,11.80955982,11.87139034,,,,,,,13.70928001,,17.74710083,17.3780098,,,,
Canada,CAN,,95.98795319,95.44049835,93.92462921,91.88690186,91.41693878,90.43145752,90.03536224,89.05137634,87.93253326,87.12014008,87.92106628,91.96498108,94.59082794,97.68978119,98.67622375,98.7484436,98.64681244,98.89579773,99.13430786,99.28910065,100.882309,102.1772003,104.0571594,105.2096481,104.6010437,104.9293594,,105.1216125,101.943718,101.5200882,,,,,101.0568466,101.4251099,101.6776123,102.1968536,102.663208,102.3972778,103.4113312,110.267601,109.9315491,,,
