"Country.Name","Country.Code","X2015","gdp","sani","pre","pri","sec","ter","smo.Daily.tobacco","smo.Daily.cigarettes","ob","al","co2","hiv"
"Luxembourg","LUX",82.22926829,59947781147,97.6,79.9955375980885,100.75543218736,94.6541154517,44.3687239133673,18.8,15.8,58.7,11.2,17.36212137,1.667133333
"Latvia","LVA",74.12439024,27677391316,87.8,88.19287109,99.66523743,119.4924469,54.4768085313056,30,26.8,57.8,10.6,3.498192882,2.1875
"Morocco","MAR",75.52014634,1.01e+11,76.7,56.86927032,114.7061462,93.58356656994,28.14357948,17.9,14.1,26.4,0.7,1.744379974,0.1
"Moldova","MDA",71.37121951,6749515655,76.4,83.89848328,92.41278076,86.10812378,41.2134819,20.1,17.9,55.6,17.4,1.386829142,0.6
"Madagascar","MDG",65.50782927,9990653078,12,18.06114006,148.894455,80.7318030119667,40.6627202560642,18.4,15.264,23.4,1.9,0.130421321,0.3
"Maldives","MDV",77.12026829,3591112751,97.9,72.0937796589,100.754824216133,67.844193776,59.99074346075,18.4,15.264,28.1,1,3.328648379,1.32
"Mexico","MEX",76.88136585,1.05e+12,85.2,55.6187373863842,101.97446743328,98.9562906332,50.4583672066,8.3,8,75.9,6.8,3.866241113,0.2
"Macedonia, FYR","MKD",75.52431707,10899583155,90.9,36.35166931,93.21849823,79.2940979,42.06335068,18.4,15.264,23.9,5.7,3.614938183,1.32
"Mali","MLI",57.45770732,14045098238,24.7,4.055970192,75.79035187,41.30747986,57.5349707702722,14.9,8.5,66.4,1,0.083228663,1.4
"Malta","MLT",81.94634146,10949092472,100,111.1687393,103.4143906,94.8015976,47.42187119,20.7,18.3,83.5,7.2,5.491524789,0.610666667
"Myanmar","MMR",66.38563415,67429590536,79.6,74.0946125133333,105.776651237033,85.166567796,32.0973174917333,15.8,10,40.6,0.7,0.416600362,0.7
"Mongolia","MNG",69.11587805,11160356498,59.7,66.863223358185,100.89608,91.46233368,68.5670166,22.7,20.2,59.4,7.8,7.127326348,1.32
"Mauritania","MRT",63.04636585,4634588338,40,10.60464954,102.4521713,30.5981102,5.621729851,19,8.7,32.3,0.1,0.666822428,0.7
"Mauritius","MUS",74.35317073,12164207330,93.1,103.8610229,103.0363617,95.69615936,36.66756821,16,14.5,64.9,4,3.353110472,0.9
"Malawi","MWI",62.54336585,5441852138,41,81.61180878,145.4657745,43.39519119,49.2500669713215,11.9,9.7,42.5,2.5,0.07476291,10
"Malaysia","MYS",75.22019512,2.96e+11,96,93.94883728,101.7920532,77.57128143,26.07408905,18.2,16.1,30.6,1.7,8.032991579,0.5
"Namibia","NAM",63.63643902,10267157280,34.4,61.1754192708667,98.097768408,73.46555379,49.1130521126667,18.9,12.3,88.5,11.8,1.583728667,16
"Niger","NER",59.68187805,7508986509,10.9,7.365499973,72.4993515,20.74982071,56.7367696375482,6,5.6,28.9,0.3,0.111073516,0.5
"Nigeria","NGA",52.97792683,4.05e+11,29,80.9709250511155,102.062204229033,96.56180034496,51.5265489772878,7,4.8,80,11.3,0.545622113,3.2
"Nicaragua","NIC",75.038,13230844687,67.9,57.6640031676169,99.8668725628,93.6565155757333,40.6851106197625,18.4,15.264,22,4.6,0.808520856,0.3
"Netherlands","NLD",81.70731707,7.71e+11,97.7,95.63011169,104.7017212,135.4738007,52.0488275040833,19.6,18.8,65.6,9.6,9.920138075,1.925
"Norway","NOR",82.1,3.71e+11,98.1,97.49228668,100.4209213,112.9892426,76.69638062,17.2,14.7,62.6,7,9.270945132,0.2
"Nepal","NPL",69.86985366,21143873417,45.8,85.41809082,135.4335022,67.16985321,14.93994999,18.1,16.9,57.8,2.1,0.283538526,0.2
"Pakistan","PAK",66.33217073,2.84e+11,63.5,72.31954193,92.70954132,44.52587128,9.927390099,18.6,11.6,85.1,0.1,0.896264105,0.1
"Panama","PAN",77.81743902,55187700000,75,64.19758662086,106.85511528866,96.8378393544,51.5598203737148,3.9,3.4,52.9,7.7,2.254311363,0.6
"Peru","PER",74.71341463,1.92e+11,76.2,88.70420074,101.6951675,95.74452209,52.6712023971289,18.4,15.264,27.6,5.2,1.993485949,0.4
"Philippines","PHL",69.00985366,3.05e+11,73.9,92.3646556784083,105.411245238,88.8097998761778,62.1889361213559,20.6,18.6,58.3,5.6,1.055456846,0.1
"Poland","POL",78.20487805,4.7e+11,97.2,71.4615709820333,101.0660641532,81.8927061055,48.5416899127396,23.2,22.6,57.5,11.5,7.517151585,0.1
"Portugal","PRT",81.52195122,2.05e+11,99.7,93.70187378,107.3699112,119.1351929,61.87419128,17.7,15.2,71.7,12.5,4.331554028,2.5125
"Paraguay","PRY",73.04297561,27440632934,88.6,59.4203106030267,105.3164837791,97.2461243418333,43.1535824881034,11.9,9.9,57.5,9.6,0.870219291,0.4
"Qatar","QAT",78.46270732,1.52e+11,98,58.78335953,102.9976196,91.17249298,14.51807976,18.4,15.264,57.7,1.3,45.42323996,0.68
"Romania","ROU",74.96097561,1.87e+11,79.1,90.98455048,89.78305817,92.25221252,53.22021866,25.7,23.8,57.1,12.9,3.516153691,1.32
"Rwanda","RWA",66.62087805,8376048905,61.6,17.98283958,132.5500641,36.68696976,7.897079945,18.4,15.264,52.3,10,0.074016446,2.8
"Sudan","SDN",64.22941463,95584380032,67.998852966,63.7846309679333,100.9531991576,92.3039300908333,47.2657242692111,18.4,15.264,58.9,2.7,0.854424427,0.2
