Country.Name,Country.Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Djibouti,DJI,14.05749035,16.03000069,16.7560997,,20.22442055,22.48245049,22.30764008,25.78524017,30.64455032,33.4876709,,39.36888885,43.06343079,45.05786133,46.35290909,47.06901932,48.26956177
Dominica,DMA,105.6606522,107.1572266,110.3427963,114.2772598,109.7460709,107.3520966,104.399437,102.8881912,100.5641174,100.6277008,96.93409729,96.729599,,,,100.4878922,
Denmark,DNK,127.0542984,131.0371094,126.3215332,126.4657669,123.6582489,124.1809235,120.0791016,118.8251038,117.8997574,118.0346375,119.5693893,122.8011932,123.6825104,129.7790833,129.8680267,130.8247375,
Dominican Republic,DOM,59.03738022,,67.1963501,,68.19978333,69.74497986,,78.08254242,76.7469635,78.57840729,76.01545715,75.62783051,76.38874054,77.59657288,78.35604095,77.82071686,
Algeria,DZA,64.72483063,68.4109726,71.5598526,73.75566101,77.21340179,78.78222656,79.7915802,70.28121185,76.75585175,93.07003021,97.17192078,99.86019135,,,,,
East Asia & Pacific (excluding high income),EAP,59.66810989,59.79143143,60.30263138,61.97980881,63.67501831,64.82160187,66.94109344,70.84326172,73.53475952,76.7915802,79.81958771,82.78955078,84.82196808,87.49381256,86.46098328,,
Early-demographic dividend,EAR,50.80086899,51.65507126,53.30513,55.0185318,56.22140884,57.30382156,58.65671921,60.64656067,62.17961884,62.6373291,64.87670898,67.16374969,69.00302124,69.97885132,70.37068176,,
East Asia & Pacific,EAS,62.96728897,62.83182907,63.14490891,64.61106873,66.10997772,67.22396851,69.1570282,72.90480804,75.50861359,78.6416626,81.50263214,84.32813263,86.33956146,88.86734772,87.93482208,,
Europe & Central Asia (excluding high income),ECA,87.43932343,89.64295197,90.97454071,91.82260132,89.0821228,86.89846802,88.06999207,89.24423218,89.32610321,88.2203064,90.31954193,92.28066254,92.93562317,97.68572235,98.39228821,,
Europe & Central Asia,ECS,94.56568146,96.275383,97.45227814,98.18527985,95.6700592,95.24150085,95.59121704,96.16500854,96.50702667,96.04889679,97.85806274,98.52926636,98.92729187,105.3519516,105.9635162,,
Ecuador,ECU,57.84692001,58.0689888,59.01779175,58.56803894,59.22438812,61.87860107,64.19695282,65.91542053,,,88.73893738,92.84921265,97.69551086,101.3936996,104.4767914,107.7006912,107.223259
"Egypt, Arab Rep.",EGY,80.51473236,81.65100098,81.06118011,80.98999786,80.79295349,,,,,68.79331207,71.50567627,81.67791748,83.63410187,85.72505951,86.10231781,,
Euro area,EMU,103.1263199,104.4018021,105.3651276,105.982933,104.1694183,105.7818222,106.07724,106.01297,106.535408,106.6257095,107.9231415,108.5455093,108.7402267,111.4883881,111.4196625,,
Eritrea,ERI,23.0205307,23.27882957,24.26207924,25.05005074,25.69714928,28.46809959,29.92034912,29.02909088,30.87355995,33.02542114,34.10422897,35.3205986,36.54611969,35.51931,34.75437164,30.54986,
Spain,ESP,110.2685089,111.8033981,111.8963699,112.2328186,113.9574738,117.5131378,117.5426712,117.5055389,117.6678009,118.3946381,124.3840637,128.5921631,131.0341644,131.0860443,130.1646576,129.8104858,
Estonia,EST,93.8263092,94.95307159,97.6813736,97.66770172,100.085289,102.7899323,103.1119003,103.2343292,102.2669373,102.7461014,105.2962418,107.3662872,107.5298462,108.5829391,110.4064789,115.1782227,
Ethiopia,ETH,13.50220013,16.38871002,18.60766983,19.49935913,21.91142082,24.75036049,28.83949089,31.98987007,33.20386887,33.4888916,34.80821991,36.04822922,37.70338821,,,35.17324829,
European Union,EUU,101.1093369,102.310257,103.3810806,103.7268372,101.641243,103.1357498,102.5145493,102.5453873,103.2873535,103.6776581,105.0839005,104.4131012,104.4581604,112.4467926,112.7937393,,
Fragile and conflict affected situations,FCS,32.36122894,32.94244003,33.84418106,35.66672134,37.53720856,38.33555984,39.75096893,40.26074982,42.1687088,43.5346489,44.49208069,45.37466049,46.18156815,44.98086929,45.53680038,,
Finland,FIN,124.7591782,127.3150101,128.9834747,131.7436981,110.912468,111.971077,111.6135483,110.3290863,108.7442703,107.4237976,107.2725906,107.4782181,107.4859009,143.2185669,145.4836884,149.4560852,
Fiji,FJI,78.34345245,79.06707764,82.34590149,86.04210663,90.84942627,,91.00837708,89.15940094,87.86987305,86.8852005,,90.92162323,88.66825104,,,,
France,FRA,108.7775497,107.8806763,107.7098999,108.1762238,107.9212036,112.273819,112.0745468,111.8373489,111.6255569,111.1785202,111.3268967,111.2224121,111.6653214,110.9406509,110.6440125,,
"Micronesia, Fed. Sts.",FSM,,,,,82.5146637,83.21533203,,,,,,,,,,,
Gabon,GAB,,52.47724152,53.30363846,,,,,,,,,,,,,,
United Kingdom,GBR,101.9333801,101.8126221,102.7519073,102.0717697,104.6334305,105.3872833,98.29450989,96.93357849,97.78372955,99.3622818,101.9088593,92.84832764,91.3931427,124.425972,127.8112869,,
Georgia,GEO,78.88179016,79.68182373,80.66030121,82.12241364,78.90624237,81.65640259,83.4852066,89.88330078,90.65106201,88.10632324,,,,97.69384766,99.43003845,103.6816177,
Ghana,GHA,35.65568161,33.96942139,35.34386826,36.65528107,39.18606949,41.06443024,42.54098892,46.33615112,48.35065842,49.81917191,,57.08298874,58.35628891,61.08369827,57.9407692,61.41250992,62.1050415
Guinea,GIN,,17.8593502,20.53257942,22.2585392,24.53689003,29.19433022,32.69443893,,34.08150864,,,37.64012909,37.61923981,,38.82326889,,
"Gambia, The",GMB,,,,,,,,,57.84135818,58.83488846,57.45183182,,,,,,
Guinea-Bissau,GNB,17.18758011,,,,,30.53257942,32.64117813,,,,,,,,,,
