Country name,Country code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
IRAN (ISLAMIC REPUBLIC OF),IRN,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ICELAND,ISL,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,
ISRAEL,ISR,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,
ITALY,ITA,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
JAMAICA,JAM,2.4,2.4,2.3,2.3,2.2,2.1,2.1,2,1.9,1.9,1.8,1.7,1.7,1.7,1.6
JAPAN,JPN,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,
KAZAKHSTAN,KAZ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
KENYA,KEN,9.9,9.2,8.5,7.9,7.3,6.8,6.4,6.1,5.9,5.7,5.6,5.5,5.5,5.4,5.3
KYRGYZSTAN,KGZ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3
CAMBODIA,KHM,1.7,1.6,1.5,1.3,1.2,1.1,1,1,0.9,0.9,0.8,0.8,0.7,0.7,0.6
"KOREA, REPUBLIC OF",KOR,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,
LAOS ,LAO,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3
LEBANON,LBN,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LIBERIA,LBR,2.3,2.3,2.3,2.3,2.2,2.1,1.9,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.2
SRI LANKA,LKA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LESOTHO,LSO,22.5,22.7,22.8,22.8,22.9,22.9,23,23.1,23.2,23.2,23.3,23.4,23.4,23.4,23.4
LITHUANIA,LTU,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,
LUXEMBURG,LUX,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,
LATVIA,LVA,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,,,
MOROCCO,MAR,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"MOLDOVA, REPUBLIC OF",MDA,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6
MADAGASCAR,MDG,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3
MALDIVES,MDV,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
MEXICO,MEX,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2
MACEDONIA,MKD,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
MALI,MLI,1.8,1.7,1.6,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
MALTA,MLT,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,
MYANMAR (Burma) ,MMR,0.7,0.8,0.8,0.8,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7
MONGOLIA,MNG,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
MOZAMBIQUE,MOZ,8.9,9.7,10.3,10.8,11.2,11.4,11.5,11.5,11.4,11.3,11.2,11,10.9,10.7,10.6
MAURITANIA,MRT,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.7
MAURITIUS,MUS,0.9,1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1,1,0.9
MALAWI,MWI,16.6,16.3,15.9,15.3,14.7,14.1,13.5,13,12.5,12.1,11.7,11.3,10.9,10.5,10
MALAYSIA,MYS,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.5
NAMIBIA,NAM,16,16.3,16.3,16.1,15.7,15.3,14.9,14.6,14.4,14.4,14.3,14.2,16.4,16.2,16
NIGER,NER,1.2,1.2,1.2,1.2,1.2,1.1,1,1,0.9,0.8,0.7,0.7,0.6,0.5,0.5
NIGERIA,NGA,3.5,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.5,3.4,3.4,3.3,3.2
NICARAGUA,NIC,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
NETHERLANDS,NLD,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,
NORWAY,NOR,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2
