"Country.Name","Country.Code","life","gdp","sani","pre","pri","sec","ter","smo.tob","smo.cig","ob","al","co2","hiv"
"Morocco","MAR",75.52014634,1.01e+11,76.7,59.18209839,102.6977768,97.93816376,25.12491989,17.9,14.1,26.4,0.7,1.744379974,0.1
"Myanmar","MMR",66.38563415,67429590536,79.6,23.45993996,146.5065308,39.49206924,14.80583590275,15.8,10,40.6,0.7,0.416600362,0.8
"Namibia","NAM",63.63643902,10267157280,34.4,29.2267377693333,102.7663193,77.74965668,12.8167680738,18.9,12.3,88.5,11.8,1.583728667,13.8
"Nepal","NPL",69.86985366,21143873417,45.8,85.75847626,107.534790052,71.3133163475,15.83248043,18.1,16.9,57.8,2.1,0.283538526,0.2
"Netherlands","NLD",81.70731707,7.71e+11,97.7,94.85250092,70.60041809,18.81945992,70.3955506892,19.6,18.8,65.6,9.6,9.920138075,0.2
"Nicaragua","NIC",75.038,13230844687,67.9,78.8547851583333,96.4697418256,46.402812005,30.3466707026667,18.4,15.264,22,4.6,0.808520856,0.2
"Niger","NER",59.68187805,7508986509,10.9,7.122719765,110.767873775,84.992782208,3.91576447080556,6,5.6,28.9,0.3,0.111073516,0.4
"Nigeria","NGA",52.97792683,4.05e+11,29,51.00264263,104.4383926,132.3171082,12.988910405,7,4.8,80,11.3,0.545622113,2.9
"Pakistan","PAK",66.33217073,2.84e+11,63.5,70.23635864,135.2338257,66.86894989,10.35523033,18.6,11.6,85.1,0.1,0.896264105,0.1
"Panama","PAN",77.81743902,55187700000,75,48.29030991,102.2235184,75.55860138,43.5102920513333,3.9,3.4,52.9,7.7,2.254311363,0.8
"Paraguay","PRY",73.04297561,27440632934,88.6,45.914161684,101.4220963,95.62184143,41.8564012928,11.9,9.9,57.5,9.6,0.870219291,0.5
"Peru","PER",74.71341463,1.92e+11,76.2,87.55407715,107.20520632,90.8113674577778,36.2670593243333,18.4,15.264,27.6,5.2,1.993485949,0.3
"Philippines","PHL",69.00985366,3.05e+11,73.9,59.053954316,114.2956772,113.5977325,35.75333023,20.6,18.6,58.3,5.6,1.055456846,0.1
"Qatar","QAT",78.46270732,1.52e+11,98,56.18759918,103.03684235,73.6829742435,13.47710037,18.4,15.264,57.7,1.3,45.42323996,0.1
"Romania","ROU",74.96097561,1.87e+11,79.1,90.45687866,99.35037231,83.8015976,53.21585846,25.7,23.8,57.1,12.9,3.516153691,0.1
"Rwanda","RWA",66.62087805,8376048905,61.6,15.69806004,98.56413269,100.5862274,7.567520142,18.4,15.264,52.3,10,0.074016446,3.1
"Saudi Arabia","SAU",74.5744878,6.46e+11,100,16.33140945,75.096751402,43.327747538,61.11201859,14.5,10.2,28.4,0.2,19.5292718,0.1
